"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0 0.15450643776824 0.0128755364806867 0.0343347639484979 0.0429184549356223 0.0343347639484979 0.253218884120172 0.133047210300429 0.0515021459227468 0.283261802575107
"gr" 0.00434741517814951 0.576883092335318 0.0137983177393441 0.010490501842926 0.0557603251110481 0.0225876571212551 0.203099896040072 0.0820338342311691 0.0108685379453738 0.0201304224553445
"ma" 0.00869565217391304 0.308695652173913 0.0608695652173913 0.0826086956521739 0.104347826086957 0.0217391304347826 0.234782608695652 0.091304347826087 0.0130434782608696 0.0739130434782609
"or" 0.00264084507042254 0.034330985915493 0.00704225352112676 0.00792253521126761 0.0369718309859155 0.00440140845070423 0.169894366197183 0.0889084507042254 0.0616197183098592 0.586267605633803
"ot" 0.00216372160115399 0.211684096646232 0.0299314821492968 0.0447169130905157 0.165164082221421 0.0328164442841688 0.264695275874504 0.137756941940137 0.0281283808150018 0.0829426613775694
"po" 0 0.0779768177028451 0.0126448893572181 0.00316122233930453 0.0769230769230769 0.0136986301369863 0.36986301369863 0.159114857744995 0.0326659641728135 0.253951527924131
"sb" 0.00447467334884553 0.221406837300877 0.0159298371218901 0.0198675496688742 0.0717737605154824 0.0307857526400573 0.438517988186862 0.11616252013603 0.0413459817433327 0.0397350993377483
"sw" 0.00544032641958518 0.105746344780687 0.0138274963164457 0.0146208772526352 0.0776379916128301 0.0471494956364049 0.392723563413805 0.24787487249235 0.0425025501530092 0.0524764819222487
"wb" 0.00543847722637661 0.0938137321549966 0.00679809653297077 0.355540448674371 0.0550645819170632 0.0292318150917743 0.129163834126445 0.0666213460231135 0.182868796736914 0.0754588715159755
"ww" 0.00989736070381232 0.0700146627565982 0.0135630498533724 0.0604838709677419 0.0696480938416422 0.0656158357771261 0.248533724340176 0.238636363636364 0.0909090909090909 0.132697947214076
