"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0.0116504854368932 0.10873786407767 0.0330097087378641 0.0271844660194175 0.0679611650485437 0.0194174757281553 0.135922330097087 0.102912621359223 0.0679611650485437 0.425242718446602
"gr" 0.00325162581290645 0.682528764382191 0.0169459729864932 0.00537768884442221 0.0487743871935968 0.0141320660330165 0.142196098049024 0.0428964482241121 0.01532016008004 0.0285767883941971
"ma" 0.00934579439252336 0.268691588785047 0.121495327102804 0.0303738317757009 0.105140186915888 0.0303738317757009 0.214953271028037 0.0677570093457944 0.0116822429906542 0.14018691588785
"or" 0 0.0172764227642276 0.00914634146341463 0.00965447154471545 0.0233739837398374 0.00965447154471545 0.101626016260163 0.0345528455284553 0.0467479674796748 0.747967479674797
"ot" 0.0063030303030303 0.228606060606061 0.0392727272727273 0.0366060606060606 0.161454545454545 0.0261818181818182 0.224242424242424 0.0904242424242424 0.0499393939393939 0.136969696969697
"po" 0.000601322910402886 0.0481058328322309 0.0138304269392664 0.000601322910402886 0.0457005411906194 0.00781719783523752 0.280216476247745 0.123872519542995 0.0306674684305472 0.448586891160553
"sb" 0.00602492126523347 0.220457346296043 0.0276598658085718 0.0230042448308914 0.0794194166780775 0.0383404080514857 0.36697247706422 0.101465151307682 0.0677803642338765 0.0688758044639189
"sw" 0.00886246354049809 0.110275970383666 0.019519856405654 0.0221000673098497 0.0891855508189365 0.0677585820058335 0.346645725824546 0.169845187345748 0.0835763966793807 0.0822301996858874
"wb" 0.00604490500863558 0.156591824985607 0.0143926309729419 0.31692573402418 0.0607369027058146 0.0276338514680484 0.124928036845135 0.0417386298215314 0.170408750719632 0.0805987334484744
"ww" 0.0141292268614066 0.0485791395459597 0.0231782822670265 0.045880298460073 0.0774726147007462 0.0596920146054929 0.233846642324178 0.107001111287506 0.130973170344499 0.259247499603112
