"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 0.0677146311970979 0.0169286577992745 0.0193470374848851 0.0701330108827086 0.00241837968561064 0.215235792019347 0.0713422007255139 0.116082224909311 0.117291414752116 0.0447400241837969 0.258766626360339
"fb" 0.0298507462686567 0.021558872305141 0.054726368159204 0.0298507462686567 0.0248756218905473 0.0978441127694859 0.0248756218905473 0.0530679933665008 0.0613598673300166 0.0613598673300166 0.540630182421227
"gr" 0.0256410256410256 0.0158974358974359 0.602564102564103 0.058974358974359 0.0276923076923077 0.0548717948717949 0.0112820512820513 0.0507692307692308 0.0333333333333333 0.0405128205128205 0.0784615384615385
"ma" 0.0479302832244009 0.0163398692810458 0.107843137254902 0.210239651416122 0.00108932461873638 0.142701525054466 0.0468409586056645 0.0588235294117647 0.0544662309368192 0.0555555555555556 0.258169934640523
"or" 0.0114320096269555 0.00541516245487365 0.0180505415162455 0.00842358604091456 0.00180505415162455 0.0397111913357401 0.00902527075812274 0.0174488567990373 0.0330926594464501 0.0752105896510229 0.780385078219013
"ot" 0.0672348484848485 0.0211489898989899 0.131313131313131 0.0675505050505051 0.045770202020202 0.237689393939394 0.0789141414141414 0.0618686868686869 0.0454545454545455 0.0508207070707071 0.192234848484848
"po" 0.0904645476772616 0.00244498777506112 0.0134474327628362 0.0317848410757946 0 0.158924205378973 0.0574572127139364 0.0256723716381418 0.0317848410757946 0.0464547677261614 0.541564792176039
"sb" 0.0658036677454153 0.0226537216828479 0.106796116504854 0.0647249190938511 0.190938511326861 0.133764832793959 0.0539374325782093 0.0981661272923409 0.0776699029126214 0.0884573894282632 0.0970873786407767
"sw" 0.0507462686567164 0.0447761194029851 0.105970149253731 0.0537313432835821 0.147761194029851 0.155223880597015 0.0417910447761194 0.107462686567164 0.082089552238806 0.0865671641791045 0.123880597014925
"wb" 0.0686274509803922 0.0399698340874811 0.0965309200603318 0.0512820512820513 0.326546003016591 0.0935143288084465 0.0331825037707391 0.0739064856711916 0.0497737556561086 0.100301659125189 0.0663650075414781
"ww" 0.106521739130435 0.0589371980676328 0.0420289855072464 0.051207729468599 0.1756038647343 0.134299516908213 0.0635265700483092 0.0681159420289855 0.0565217391304348 0.109903381642512 0.133333333333333
