"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0 0 0 0 0.333333333333333 0 0 0.333333333333333 0 0.333333333333333
"gr" 0 0.666666666666667 0 0 0.138888888888889 0.0277777777777778 0 0.0277777777777778 0 0.138888888888889
"ma" 0 1 0 0 0 0 0 0 0 0
"or" 0 0 0 0 0 0 0 0.5 0 0.5
"ot" 0.0232558139534884 0.232558139534884 0 0 0.27906976744186 0.0465116279069767 0.0697674418604651 0.0232558139534884 0.0930232558139535 0.232558139534884
"po" 0 0 0 0 0.666666666666667 0 0 0 0 0.333333333333333
"sb" 0 0.25 0 0.25 0.125 0 0.125 0 0.25 0
"sw" 0 0.5 0 0 0 0 0 0 0 0.5
"wb" 0 0.166666666666667 0 0.166666666666667 0.166666666666667 0 0 0 0.166666666666667 0.333333333333333
"ww" 0.129032258064516 0.0645161290322581 0 0.193548387096774 0.129032258064516 0 0.129032258064516 0 0.0645161290322581 0.290322580645161
