crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.010183299389002 0.0264765784114053 0 0.0142566191446036 0.0285132382892057 0.0325865580448065 0 0.00407331975560081 0.0407331975560081 0.160896130346232 0.682281059063136
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0357142857142857 0 0.179802955665026 0.0689655172413792 0.0652709359605911 0.144088669950739 0.0110837438423645 0.0394088669950739 0.062807881773399 0.0960591133004925 0.29679802955665
ma 0.00442477876106195 0.0929203539823009 0 0.238938053097345 0 0.0929203539823011 0.0221238938053097 0.0309734513274336 0.0265486725663717 0.13716814159292 0.353982300884956
or 0.00291828793774319 0.014591439688716 0 0 0.00194552529182879 0.0204280155642023 0.0019455252918289 0.0175097276264591 0.0359922178988327 0.119649805447471 0.785019455252918
ot 0.0421455938697318 0.111111111111111 0 0.0587484035759898 0.0651340996168582 0.222222222222222 0.00638569604086846 0.0383141762452107 0.0625798212005109 0.114942528735632 0.278416347381865
po 0 0.0847457627118644 0 0.135593220338983 0.0169491525423731 0.11864406779661 0.0169491525423729 0.0508474576271186 0 0.203389830508475 0.372881355932203
sb 0.0906040268456376 0.13758389261745 0 0.0402684563758396 0.258389261744966 0.100671140939597 0 0.0402684563758389 0.0939597315436242 0.0906040268456376 0.147651006711409
sw 0.0497630331753564 0.135071090047393 0 0.037914691943128 0.106635071090047 0.109004739336493 0 0.0687203791469194 0.113744075829384 0.111374407582938 0.267772511848341
wb 0.070323488045007 0.118143459915612 0 0.032348804500703 0.376933895921238 0.0942334739803094 0.00843881856540084 0.0281293952180028 0.0393811533052039 0.090014064697609 0.142053445850914
ww 0.105184072126221 0.0713749060856499 0 0.0510894064613073 0.21412471825695 0.0755071374906086 0.00826446280991736 0.051089406461306 0.102178812922615 0.139368895567243 0.181818181818182
