"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 0 1 0 0 0 0 0 0 0 0 0
"fb" 0 0.00558659217877095 0.053072625698324 0.00837988826815642 0.00558659217877095 0.0446927374301676 0 0.00837988826815642 0.0223463687150838 0.108938547486034 0.743016759776536
"gr" 0 0.0228658536585366 0.636432926829268 0.0525914634146341 0.0297256097560976 0.0731707317073171 0.00152439024390244 0.0442073170731707 0.0236280487804878 0.0266768292682927 0.0891768292682927
"ma" 0 0.0194986072423398 0.164345403899721 0.161559888579387 0.00835654596100279 0.100278551532033 0.011142061281337 0.0139275766016713 0.0362116991643454 0.0724233983286908 0.412256267409471
"or" 0 0 0.0195035460992908 0.00177304964539007 0.00886524822695036 0.0212765957446809 0.00177304964539007 0.0141843971631206 0.0177304964539007 0.0815602836879433 0.833333333333333
"ot" 0 0.034106412005457 0.267394270122783 0.0572987721691678 0.0572987721691678 0.221009549795362 0.0150068212824011 0.0409276944065484 0.043656207366985 0.0463847203274216 0.216916780354707
"po" 0 0 0.111111111111111 0.0888888888888889 0 0.0666666666666667 0.0444444444444444 0.0222222222222222 0.0888888888888889 0.0888888888888889 0.488888888888889
"sb" 0.00348432055749129 0.0592334494773519 0.13588850174216 0.0348432055749129 0.32404181184669 0.0731707317073171 0.0104529616724739 0.128919860627178 0.10801393728223 0.0592334494773519 0.0627177700348432
"sw" 0 0.0511363636363636 0.204545454545455 0.0681818181818182 0.125 0.0340909090909091 0 0.0852272727272727 0.0795454545454545 0.130681818181818 0.221590909090909
"wb" 0 0.032967032967033 0.18021978021978 0.0835164835164835 0.305494505494506 0.0879120879120879 0.00879120879120879 0.0505494505494506 0.0725274725274725 0.0813186813186813 0.0967032967032967
"ww" 0.0005249343832021 0.0976377952755905 0.0965879265091864 0.0598425196850394 0.171653543307087 0.0834645669291339 0.0110236220472441 0.0656167979002625 0.0587926509186352 0.111811023622047 0.243044619422572
