"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 0.0172786177105832 0.00863930885529158 0.00647948164146868 0.0280777537796976 0.00647948164146868 0.0971922246220302 0.0215982721382289 0.19438444924406 0.185745140388769 0.0129589632829374 0.421166306695464
"fb" 0.00807265388496468 0.0247225025227043 0.0232088799192735 0.012108980827447 0.0252270433905146 0.0691220988900101 0.00908173562058527 0.0464177598385469 0.0565085771947528 0.0560040363269425 0.669525731584258
"gr" 0.00174825174825175 0.00699300699300699 0.73513986013986 0.0236013986013986 0.00932400932400932 0.0377331002331002 0.00728438228438228 0.0314685314685315 0.0272435897435897 0.0308857808857809 0.0885780885780886
"ma" 0.0222841225626741 0.0139275766016713 0.177344475394615 0.119777158774373 0.00464252553389044 0.13091922005571 0.0222841225626741 0.0909935004642526 0.0594243268337976 0.0362116991643454 0.322191272051996
"or" 0.00303778241883425 0.000569584203531422 0.0060755648376685 0.00360736662236567 0.00208847541294855 0.0195557243212455 0.00132902980823998 0.0248718435542054 0.0195557243212455 0.0332257452059996 0.886083159293716
"ot" 0.0113686697179979 0.0248043702938137 0.223829912889414 0.0445888085043555 0.0637826664698066 0.154584379152517 0.0168315369850878 0.0634873763472612 0.0682120183079876 0.0627491510408977 0.265761110290861
"po" 0.00758293838862559 0.0028436018957346 0.0132701421800948 0.0180094786729858 0.0037914691943128 0.0398104265402844 0.0037914691943128 0.0710900473933649 0.0568720379146919 0.0388625592417062 0.744075829383886
"sb" 0.0150057714505579 0.0469411312043094 0.156983455175067 0.0273181993074259 0.158522508657176 0.101577529819161 0.0342439399769142 0.104655636783378 0.0992689495959985 0.131973836090804 0.123509041939207
"sw" 0.0121920875839761 0.0435431699427718 0.067180890768848 0.0268723563075392 0.090072157253048 0.10500124409057 0.0378203533217218 0.113958696193083 0.0997760636974372 0.179646678278179 0.223936302562827
"wb" 0.0164772727272727 0.0359848484848485 0.0643939393939394 0.0231060606060606 0.439204545454545 0.0839015151515152 0.0325757575757576 0.0520833333333333 0.0454545454545455 0.133901515151515 0.0729166666666667
"ww" 0.0216322517207473 0.0474785784520298 0.0306925129933979 0.0171372383761764 0.115676359039191 0.0827363393735075 0.0438966146930749 0.0809102402022756 0.0642646439106616 0.190335721309173 0.305239499929765
