crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 2.67492833090413e-05 0.058856746366642 0.180524642552152 0 0.0397137660856048 0.111541940323117 0.100977548087564 0.00345291703324147 0.0490037407944909 0.0585073997292927 0.0965529038620611 0.300841645882525
fb 0 0.0163240628778718 0.0610640870616689 0 0.00967351874244256 0.0133010882708585 0.0435308343409915 0 0.0296251511487303 0.0562273276904474 0.110036275695284 0.660217654171705
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0 0.0377276669557676 0 0.532307025151777 0.0503035559410234 0.0234171725932351 0.0849956634865575 0.00216825672159585 0.0381613183000867 0.0340416305290546 0.0529054640069385 0.143972246313964
ma 0 0.0126582278481013 0.144303797468354 0 0.284388185654008 0.0016877637130815 0.0919831223628692 0.010126582278481 0.030379746835443 0.030379746835443 0.0818565400843882 0.312236286919831
or 0 0.00176133861734919 0.0167327168648173 0 0.00396301188903567 0.00308234258036107 0.0184940554821664 0.000440334654337296 0.0140907089387935 0.0233377366798767 0.111845002201673 0.80625275209159
ot 0.000280190529560101 0.0442701036704959 0.30428691510227 0 0.0560381059120202 0.0535163911459793 0.143737741664331 0.00336228635472121 0.0411880078453348 0.0462314373774166 0.0762118240403474 0.230876996357523
po 0 0.0294117647058824 0.132352941176471 0 0.0588235294117647 0.0147058823529412 0.117647058823529 0.0147058823529412 0.0294117647058824 0.0441176470588235 0.0588235294117647 0.5
sb 0 0.0829268292682927 0.10650406504065 0 0.039837398373985 0.217073170731707 0.0821138211382114 0.00650406504065041 0.119512195121951 0.139024390243902 0.0715447154471545 0.134959349593496
sw 0 0.116389548693587 0.125098970704671 0 0.0372129849564529 0.128266033254157 0.0855106888361045 0.00554235946159937 0.0673000791765637 0.11243072050673 0.0855106888361045 0.23673792557403
wb 0.000424448217317598 0.0606960950764007 0.171052631578948 0 0.0526315789473684 0.267402376910017 0.0713073005093379 0.00212224108658744 0.0534804753820034 0.0721561969439728 0.104838709677419 0.143887945670628
ww 0 0.0955979846194643 0.0790241315300981 0 0.0503845133916733 0.164280031821798 0.0775656324582339 0.00543622381331212 0.0795544948289578 0.0973216653407584 0.134977459559798 0.215857862635906
